ふりがな,エピソード,名前,アイドルタイプ,ドミナントアイドルタイプ,マイスタイル,レア度,特技レベル,レベル,親愛度,ボーカル,ダンス,ビジュアル,ライフ,ボイス,ソロ,入手枠,登録日,センター効果,センター効果説明,特技,特技説明
やがみまきの,［マリンバイオグラフィー］八神マキノ＋,八神マキノ,クール,非該当,FALSE,Ｓレア＋,10,70,300,3867,3184,6006,39,FALSE,TRUE,恒常,'2021年4月22日',クールメイク,クールアイドルのビジュアルアピール値60%アップ,PERFECTサポート,12秒毎、中確率で少しの間、GREAT/NICEをPERFECTにする
ながとみはすみ,［まわって♪メモリー］長富蓮実＋,長富蓮実,キュート,非該当,FALSE,Ｓレア＋,10,70,300,5940,3075,3765,39,FALSE,FALSE,イベント,'2019年6月11日',キュートボイス,キュートアイドルのボーカルアピール値60%アップ,COMBOボーナス,9秒毎、中確率でしばらくの間、COMBOボーナス14%アップ
わくいるみ,［ミスティックブルー］和久井留美＋,和久井留美,クール,非該当,FALSE,Ｓレア＋,10,70,300,4808,4268,4161,39,FALSE,FALSE,イベント,'2017年10月12日',クールブリリアンス,クールアイドルの全アピール値30%アップ,COMBOボーナス,4秒毎、中確率で一瞬の間、COMBOボーナス14%アップ
らいら,［ミステリアスシエラザード］ライラ＋,ライラ,クール,非該当,FALSE,Ｓレア＋,10,70,300,4416,4434,4413,86,FALSE,TRUE,恒常,'2016年11月9日',クールエナジー,クールアイドルのライフ20%アップ,ライフ回復,10秒毎、高確率でわずかな間、PERFECTでライフ3回復
たかみねのあ,［ミステリアスメイド］高峯のあ＋,高峯のあ,クール,非該当,FALSE,Ｓレア＋,10,70,300,3201,5992,3861,39,FALSE,FALSE,限定,'2020年3月3日',クールアビリティ,クールアイドルの特技発動確率30%アップ,PERFECTサポート,7秒毎、高確率で一瞬の間、GREAT/NICEをPERFECTにする
あんざいみやこ,［ミステリーチアー］安斎都＋,安斎都,キュート,非該当,FALSE,Ｓレア＋,10,70,300,4593,4376,4335,86,FALSE,FALSE,恒常,'2019年5月17日',キュートエナジー,キュートアイドルのライフ20%アップ,ダメージガード,9秒毎、中確率でしばらくの間、ライフが減少しなくなる
みよしさな,［ミッション☆コンプリート］三好紗南＋,三好紗南,パッション,非該当,FALSE,Ｓレア＋,10,70,300,5940,3765,3075,39,FALSE,FALSE,イベント,'2018年5月10日',パッションボイス,パッションアイドルのボーカルアピール値60%アップ,COMBOボーナス,7秒毎、中確率で少しの間、COMBOボーナス14%アップ
にのみやあすか,［ミッシング・ピース］二宮飛鳥＋,二宮飛鳥,クール,非該当,FALSE,Ｓレア＋,10,70,300,4747,4316,4197,86,TRUE,TRUE,限定,'2021年3月4日',クールアビリティ,クールアイドルの特技発動確率30%アップ,ダメージガード,9秒毎、高確率で少しの間、ライフが減少しなくなる
おいかわしずく,［ミラーボール・ラブ］及川雫＋,及川雫,パッション,非該当,FALSE,Ｓレア＋,10,70,300,2896,5869,3600,39,TRUE,FALSE,イベント,'2019年10月31日',パッションステップ,パッションアイドルのダンスアピール値60%アップ,コーディネイト,7秒毎、高確率でわずかな間、PERFECTのスコア8%アップ、COMBOボーナス12%アップ
みやもとふれでりか,［ミラーボール・ラブ］宮本フレデリカ＋,宮本フレデリカ,キュート,非該当,FALSE,Ｓレア＋,10,70,300,3991,6165,3288,39,TRUE,FALSE,イベント,'2019年10月31日',トリコロール・ステップ,3タイプ全てのアイドル編成時、全員のダンスアピール値80%アップ,ライフスパークル,11秒毎、高確率でしばらくの間、ライフ値が多いほどCOMBOボーナスアップ
さくままゆ,［ミライコンパス］佐久間まゆ＋,佐久間まゆ,キュート,非該当,FALSE,Ｓレア＋,10,70,300,3982,6177,3284,39,TRUE,FALSE,イベント,'2023年3月21日',シンデレラチャーム,LIVEクリア時、獲得ファン数が32%アップ,アンコール,9秒毎、中確率でわずかな間、直前に発動した他アイドルの特技効果を繰り返す
もちづきひじり,［ミライコンパス］望月聖＋,望月聖,クール,非該当,FALSE,Ｓレア＋,10,70,300,3264,6181,3995,39,TRUE,FALSE,イベント,'2023年3月21日',トリコロール・ステップ,3タイプ全てのアイドル編成時、全員のダンスアピール値80%アップ,ロングアクト,11秒毎、高確率でかなりの間、PERFECTのスコア8%アップ、ロングアイコンなら32%アップ
なんじょうひかる,［ミンナノミカタ］南条光＋,南条光,パッション,非該当,FALSE,Ｓレア＋,10,70,300,3657,6159,2902,39,TRUE,FALSE,イベント,'2017年1月12日',パッションステップ,パッションアイドルのダンスアピール値60%アップ,COMBOボーナス,7秒毎、中確率で少しの間、COMBOボーナス14%アップ
うえだすずほ,［みんなの太陽］上田鈴帆＋,上田鈴帆,パッション,非該当,FALSE,Ｓレア＋,10,70,300,4605,4330,4275,86,TRUE,TRUE,恒常,'2016年11月22日',パッションエナジー,パッションアイドルのライフ20%アップ,ダメージガード,11秒毎、高確率でしばらくの間、ライフが減少しなくなる
あいばゆみ,［ムーンライトフラワー］相葉夕美＋,相葉夕美,パッション,非該当,FALSE,Ｓレア＋,10,70,300,4365,4341,4484,39,TRUE,TRUE,恒常,'2015年11月13日',パッションアビリティ,パッションアイドルの特技発動確率30%アップ,SCOREボーナス,11秒毎、中確率でかなりの間、PERFECTのスコア15%アップ
いむらせつな,［メイクアップ・マイライフ］井村雪菜＋,井村雪菜,キュート,非該当,FALSE,Ｓレア＋,10,70,300,4568,4608,4802,39,FALSE,FALSE,イベント,'2024年5月22日',キュートブリリアンス,キュートアイドルの全アピール値30%アップ,COMBOボーナス,11秒毎、中確率でかなりの間、COMBOボーナス14%アップ
まつもとさりな,［メイド・イン・セクシー］松本沙理奈＋,松本沙理奈,クール,非該当,FALSE,Ｓレア＋,10,70,300,3992,3275,6171,39,FALSE,FALSE,イベント,'2023年2月10日',クールメイク,クールアイドルのビジュアルアピール値60%アップ,PERFECTサポート,18秒毎、中確率でかなりの間、GREAT/NICEをPERFECTにする
とうごうあい,［メイド長のお気に入り］東郷あい＋,東郷あい,クール,非該当,FALSE,Ｓレア＋,10,70,300,3286,3974,6180,39,TRUE,FALSE,イベント,'2024年10月21日',シンデレラチャーム,LIVEクリア時、獲得ファン数が32%アップ,アンコール,12秒毎、中確率で少しの間、直前に発動した他アイドルの特技効果を繰り返す
いけぶくろあきは,［メタルハート・レゾナンス］池袋晶葉＋,池袋晶葉,キュート,非該当,FALSE,Ｓレア＋,10,70,300,3283,6178,3980,39,FALSE,FALSE,イベント,'2025年6月18日',シンデレラチャーム,LIVEクリア時、獲得ファン数が32%アップ,アンコール,15秒毎、中確率でしばらくの間、直前に発動した他アイドルの特技効果を繰り返す
ざいぜんときこ,［メディアの女王］財前時子＋,財前時子,パッション,非該当,FALSE,Ｓレア＋,10,70,300,4289,4193,4767,39,FALSE,FALSE,イベント,'2017年8月12日',パッションブリリアンス,パッションアイドルの全アピール値30%アップ,COMBOボーナス,7秒毎、高確率でわずかな間、COMBOボーナス14%アップ
いがらしきょうこ,［メモリーブロッサム］五十嵐響子＋,五十嵐響子,キュート,非該当,FALSE,Ｓレア＋,10,70,300,6177,3979,3284,39,TRUE,FALSE,イベント,'2022年4月29日',キュートアビリティ,キュートアイドルの特技発動確率30%アップ,スキルブースト,7秒毎、高確率でわずかな間、他アイドルの特技効果を中アップ
さいおんじことか,［メモリーブロッサム］西園寺琴歌＋,西園寺琴歌,キュート,非該当,FALSE,Ｓレア＋,10,70,300,6173,3281,3985,39,TRUE,FALSE,イベント,'2022年4月29日',キュート・クロス・パッション,キュートとパッションのアイドル編成時、全員の全アピール値20%アップ、獲得ファン数が8%アップ,フリックアクト,9秒毎、高確率でしばらくの間、PERFECTのスコア8%アップ、フリックアイコンなら32%アップ
わかばやしともか,［メリーチアー・フォーユー］若林智香＋,若林智香,パッション,非該当,FALSE,Ｓレア＋,10,70,300,4813,4276,4147,39,FALSE,FALSE,イベント,'2020年12月10日',パッションブリリアンス,パッションアイドルの全アピール値30%アップ,COMBOボーナス,9秒毎、高確率で少しの間、COMBOボーナス14%アップ
ももいあずき,［メルヘン大作戦］桃井あずき＋,桃井あずき,キュート,非該当,FALSE,Ｓレア＋,10,70,300,6005,3869,3181,39,FALSE,FALSE,限定,'2019年7月4日',キュートアビリティ,キュートアイドルの特技発動確率30%アップ,オールラウンド,11秒毎、中確率で少しの間、COMBOボーナス10%アップ、PERFECTでライフ1回復
うめきおとは,［メロディ・ロワイヤル］梅木音葉＋,梅木音葉,クール,非該当,FALSE,Ｓレア＋,10,70,300,3889,5966,3212,39,FALSE,FALSE,恒常,'2017年10月18日',クールステップ,クールアイドルのダンスアピール値60%アップ,SCOREボーナス,9秒毎、中確率でしばらくの間、PERFECTのスコア15%アップ
さかきばらさとみ,［メロメロ・ロワイヤル］榊原里美＋,榊原里美,キュート,非該当,FALSE,Ｓレア＋,10,70,300,3510,5656,2825,39,FALSE,FALSE,イベント,'2020年6月10日',キュートステップ,キュートアイドルのダンスアピール値60%アップ,オーバーロード,9秒毎、中確率でライフを15消費し、しばらくの間PERFECT/GREATのスコア18%アップ、NICE/BADでもCOMBO継続
そうまなつみ,［モードの翼］相馬夏美＋,相馬夏美,パッション,非該当,FALSE,Ｓレア＋,10,70,300,4361,4627,4305,86,FALSE,FALSE,恒常,'2023年12月13日',パッションエナジー,パッションアイドルのライフ20%アップ,ダメージガード,9秒毎、中確率でしばらくの間、ライフが減少しなくなる
おいかわしずく,［モーレツ★世直しギルティ！］及川雫＋,及川雫,パッション,非該当,FALSE,Ｓレア＋,10,70,300,3651,5767,2980,39,TRUE,FALSE,イベント,'2017年5月19日',パッションステップ,パッションアイドルのダンスアピール値60%アップ,コンセントレーション,7秒毎、高確率でわずかな間、PERFECTのスコア19%アップ、PERFECT判定される時間が短くなる
ほりゆうこ,［モーレツ★世直しギルティ！］堀裕子＋,堀裕子,パッション,非該当,FALSE,Ｓレア＋,10,70,300,6100,4023,3339,39,TRUE,FALSE,イベント,'2017年5月19日',パッションボイス,パッションアイドルのボーカルアピール値60%アップ,COMBOボーナス,4秒毎、中確率で一瞬の間、COMBOボーナス14%アップ
おおはらみちる,［モグモグオータム］大原みちる＋,大原みちる,キュート,非該当,FALSE,Ｓレア＋,10,70,300,4645,4350,4292,86,FALSE,FALSE,恒常,'2018年1月24日',キュートエナジー,キュートアイドルのライフ20%アップ,ライフ回復,7秒毎、高確率で一瞬の間、PERFECTでライフ3回復
おおはらみちる,［モグモグバレンタイン］大原みちる＋,大原みちる,キュート,非該当,FALSE,Ｓレア＋,10,70,300,3200,5979,3883,39,FALSE,FALSE,限定,'2017年1月31日',キュートステップ,キュートアイドルのダンスアピール値60%アップ,SCOREボーナス,4秒毎、高確率で一瞬の間、PERFECTのスコア15%アップ
あいかわちなつ,［モダンガァル・アプレミディ］相川千夏＋,相川千夏,クール,非該当,FALSE,Ｓレア＋,10,70,300,3985,3286,6170,39,FALSE,FALSE,イベント,'2023年4月23日',クールメイク,クールアイドルのビジュアルアピール値60%アップ,オーバーロード,7秒毎、中確率でライフを11消費し、少しの間PERFECT/GREATのスコア18%アップ、NICE/BADでもCOMBO継続
ひいらぎしの,［もてなしの盃］柊志乃＋,柊志乃,クール,非該当,FALSE,Ｓレア＋,10,70,300,5997,3176,3881,39,FALSE,FALSE,恒常,'2020年11月22日',クールボイス,クールアイドルのボーカルアピール値60%アップ,オールラウンド,5秒毎、高確率で一瞬の間、COMBOボーナス10%アップ、PERFECTでライフ1回復
むらまつさくら,［ももいろはぁと］村松さくら＋,村松さくら,キュート,非該当,FALSE,Ｓレア＋,10,70,300,4271,4338,4671,86,FALSE,FALSE,恒常,'2019年8月9日',キュートエナジー,キュートアイドルのライフ20%アップ,ライフ回復,6秒毎、中確率で一瞬の間、PERFECTでライフ3回復
ふたばあんず,［モラトリアム］双葉杏＋,双葉杏,キュート,非該当,FALSE,Ｓレア＋,10,70,300,6180,3272,3988,39,TRUE,FALSE,イベント,'2024年7月29日',キュート・クロス・パッション,キュートとパッションのアイドル編成時、全員の全アピール値20%アップ、獲得ファン数が8%アップ,ロングアクト,9秒毎、高確率でしばらくの間、PERFECTのスコア8%アップ、ロングアイコンなら32%アップ
ゆめみりあむ,［モラトリアム］夢見りあむ＋,夢見りあむ,パッション,非該当,FALSE,Ｓレア＋,10,70,300,6176,3274,3990,39,TRUE,FALSE,イベント,'2024年7月29日',パッション・クロス・キュート,パッションとキュートのアイドル編成時、全員の全アピール値20%アップ、全員のライフ15%アップ,スキルブースト,7秒毎、高確率でわずかな間、他アイドルの特技効果を中アップ
かたぎりさなえ,［やりすぎお姉さん］片桐早苗＋,片桐早苗,パッション,非該当,FALSE,Ｓレア＋,10,70,300,3305,5810,2569,39,TRUE,FALSE,イベント,'2016年3月11日',パッションステップ,パッションアイドルのダンスアピール値60%アップ,SCOREボーナス,7秒毎、高確率でわずかな間、PERFECTのスコア15%アップ
おおたゆう,［ユー☆ワク☆サマー］太田優＋,太田優,キュート,非該当,FALSE,Ｓレア＋,10,70,300,4162,4815,4261,39,FALSE,FALSE,イベント,'2022年8月10日',キュートブリリアンス,キュートアイドルの全アピール値30%アップ,COMBOボーナス,4秒毎、中確率で一瞬の間、COMBOボーナス14%アップ
えがみつばき,［ゆかしい花椿］江上椿＋,江上椿,キュート,非該当,FALSE,Ｓレア＋,10,70,300,3883,3200,5979,39,FALSE,FALSE,恒常,'2017年10月10日',キュートメイク,キュートアイドルのビジュアルアピール値60%アップ,オーバーロード,7秒毎、高確率でライフを11消費し、わずかな間PERFECT/GREATのスコア18%アップ、NICE/BADでもCOMBO継続
なみきめいこ,［ゆきゆきて、旅の空］並木芽衣子＋,並木芽衣子,パッション,非該当,FALSE,Ｓレア＋,10,70,300,4603,4798,4576,39,FALSE,FALSE,イベント,'2023年5月23日',パッションブリリアンス,パッションアイドルの全アピール値30%アップ,PERFECTサポート,11秒毎、高確率でわずかな間、GREAT/NICEをPERFECTにする
さかきばらさとみ,［ゆるあまチアー］榊原里美＋,榊原里美,キュート,非該当,FALSE,Ｓレア＋,10,70,300,5990,3198,3870,39,FALSE,FALSE,恒常,'2023年7月13日',キュートボイス,キュートアイドルのボーカルアピール値60%アップ,PERFECTサポート,18秒毎、中確率でかなりの間、GREAT/NICEをPERFECTにする
たかもりあいこ,［ゆるふわ乙女］高森藍子＋,高森藍子,パッション,非該当,FALSE,Ｓレア＋,10,70,300,3709,3013,5920,39,TRUE,TRUE,恒常,'2015年9月17日',パッションメイク,パッションアイドルのビジュアルアピール値60%アップ,PERFECTサポート,12秒毎、中確率で少しの間、GREAT/NICEをPERFECTにする
みずきせいら,［ライズバイビギン］水木聖來＋,水木聖來,クール,非該当,FALSE,Ｓレア＋,10,70,300,3861,3191,6005,39,FALSE,FALSE,恒常,'2022年2月22日',クールメイク,クールアイドルのビジュアルアピール値60%アップ,コーディネイト,9秒毎、高確率で少しの間、PERFECTのスコア8%アップ、COMBOボーナス12%アップ
たかみねのあ,［ラヴ・シンギュラリティー］高峯のあ＋,高峯のあ,クール,非該当,FALSE,Ｓレア＋,10,70,300,6175,3989,3276,39,FALSE,FALSE,イベント,'2023年9月11日',クールボイス,クールアイドルのボーカルアピール値60%アップ,オーバーロード,7秒毎、高確率でライフを11消費し、わずかな間PERFECT/GREATのスコア18%アップ、NICE/BADでもCOMBO継続
ふじもとりな,［ラヴリー☆ハート］藤本里奈＋,藤本里奈,キュート,非該当,FALSE,Ｓレア＋,10,70,300,4090,4069,4066,39,TRUE,FALSE,イベント,'2016年2月10日',キュートアビリティ,キュートアイドルの特技発動確率30%アップ,PERFECTサポート,6秒毎、中確率で一瞬の間、GREAT/NICEをPERFECTにする
ふじもとりな,［ラヴリー☆ライダー］藤本里奈＋,藤本里奈,キュート,非該当,FALSE,Ｓレア＋,10,70,300,3883,5979,3200,39,TRUE,TRUE,恒常,'2019年6月20日',キュートステップ,キュートアイドルのダンスアピール値60%アップ,SCOREボーナス,4秒毎、高確率で一瞬の間、PERFECTのスコア15%アップ
まなかみさと,［ラグーン・ファンタジア］間中美里＋,間中美里,キュート,非該当,FALSE,Ｓレア＋,10,70,300,3283,3984,6174,39,FALSE,FALSE,イベント,'2023年5月23日',キュートメイク,キュートアイドルのビジュアルアピール値60%アップ,COMBOボーナス,7秒毎、高確率でわずかな間、COMBOボーナス14%アップ
やなせみゆき,［ラスティックピース］柳瀬美由紀＋,柳瀬美由紀,キュート,非該当,FALSE,Ｓレア＋,10,70,300,3191,3877,5991,39,FALSE,FALSE,恒常,'2019年10月11日',キュートメイク,キュートアイドルのビジュアルアピール値60%アップ,SCOREボーナス,7秒毎、高確率でわずかな間、PERFECTのスコア15%アップ
せなしおり,［ラッシュ・ロワイヤル］瀬名詩織＋,瀬名詩織,クール,非該当,FALSE,Ｓレア＋,10,70,300,3994,4309,3932,86,FALSE,FALSE,イベント,'2018年12月11日',クールエナジー,クールアイドルのライフ20%アップ,ダメージガード,7秒毎、高確率でわずかな間、ライフが減少しなくなる
らいら,［ラビアシュリータ］ライラ＋,ライラ,クール,非該当,FALSE,Ｓレア＋,10,70,300,5999,3168,3891,39,FALSE,TRUE,恒常,'2021年3月22日',クールボイス,クールアイドルのボーカルアピール値60%アップ,オールラウンド,11秒毎、中確率で少しの間、COMBOボーナス10%アップ、PERFECTでライフ1回復
みやもとふれでりか,［ラビューダ♡トライアングル］宮本フレデリカ＋,宮本フレデリカ,キュート,非該当,FALSE,Ｓレア＋,10,70,300,3979,3285,6176,39,TRUE,FALSE,イベント,'2022年3月20日',シンデレラチャーム,LIVEクリア時、獲得ファン数が32%アップ,アンコール,18秒毎、中確率でかなりの間、直前に発動した他アイドルの特技効果を繰り返す
しまむらうづき,［ラビューダ♡トライアングル］島村卯月＋,島村卯月,キュート,非該当,FALSE,Ｓレア＋,10,70,300,3281,3983,6174,39,TRUE,FALSE,イベント,'2022年3月20日',キュート・クロス・パッション,キュートとパッションのアイドル編成時、全員の全アピール値20%アップ、獲得ファン数が8%アップ,コンセントレーション,13秒毎、高確率でかなりの間、PERFECTのスコア19%アップ、PERFECT判定される時間が短くなる
ありうらかんな,［ラビングヴィラン］有浦柑奈＋,有浦柑奈,キュート,非該当,FALSE,Ｓレア＋,10,70,300,4348,4359,4591,86,FALSE,FALSE,恒常,'2021年10月13日',キュートエナジー,キュートアイドルのライフ20%アップ,ライフ回復,14秒毎、中確率でしばらくの間、PERFECTでライフ3回復
きゃしーぐらはむ,［ラフ＆ガーリー］キャシー・グラハム＋,キャシー・グラハム,パッション,非該当,FALSE,Ｓレア＋,10,70,300,3212,3889,5966,39,FALSE,FALSE,恒常,'2018年6月11日',パッションメイク,パッションアイドルのビジュアルアピール値60%アップ,SCOREボーナス,7秒毎、中確率で少しの間、PERFECTのスコア15%アップ
まつばらさや,［ラブリー・ショコラ］松原早耶＋,松原早耶,キュート,非該当,FALSE,Ｓレア＋,10,70,300,3285,6181,3977,39,FALSE,FALSE,イベント,'2023年2月10日',キュートステップ,キュートアイドルのダンスアピール値60%アップ,COMBOボーナス,11秒毎、高確率でしばらくの間、COMBOボーナス14%アップ
まなべいつき,［ラブリーホッパー］真鍋いつき＋,真鍋いつき,パッション,非該当,FALSE,Ｓレア＋,10,70,300,3860,3185,6011,39,FALSE,FALSE,恒常,'2021年1月12日',パッションメイク,パッションアイドルのビジュアルアピール値60%アップ,コンセントレーション,7秒毎、高確率でわずかな間、PERFECTのスコア19%アップ、PERFECT判定される時間が短くなる
おおたゆう,［ラブリーマイベイビー］太田優＋,太田優,キュート,非該当,FALSE,Ｓレア＋,10,70,300,5954,3895,3221,39,FALSE,FALSE,恒常,'2018年9月19日',キュートボイス,キュートアイドルのボーカルアピール値60%アップ,SCOREボーナス,9秒毎、中確率でしばらくの間、PERFECTのスコア15%アップ
いがらしきょうこ,［ラブレター］五十嵐響子＋,五十嵐響子,キュート,非該当,FALSE,Ｓレア＋,10,70,300,4096,4168,4528,39,TRUE,FALSE,イベント,'2016年9月20日',キュートブリリアンス,キュートアイドルの全アピール値30%アップ,オーバーロード,7秒毎、中確率でライフを11消費し、少しの間PERFECT/GREATのスコア18%アップ、NICE/BADでもCOMBO継続
しまむらうづき,［ラブレター］島村卯月＋,島村卯月,キュート,非該当,FALSE,Ｓレア＋,10,70,300,6123,3272,3970,39,TRUE,FALSE,イベント,'2016年9月20日',キュートボイス,キュートアイドルのボーカルアピール値60%アップ,COMBOボーナス,13秒毎、高確率でかなりの間、COMBOボーナス14%アップ
きりゅうつかさ,［ランウェイのカリスマ］桐生つかさ＋,桐生つかさ,クール,非該当,FALSE,Ｓレア＋,10,70,300,4382,4578,4344,86,FALSE,FALSE,恒常,'2016年12月17日',クールエナジー,クールアイドルのライフ20%アップ,ダメージガード,11秒毎、高確率でしばらくの間、ライフが減少しなくなる
あさのふうか,［ランウェイモード］浅野風香＋,浅野風香,キュート,非該当,FALSE,Ｓレア＋,10,70,300,4323,4605,4370,86,FALSE,FALSE,恒常,'2018年11月12日',キュートエナジー,キュートアイドルのライフ20%アップ,ライフ回復,10秒毎、高確率でわずかな間、PERFECTでライフ3回復
さわだまりな,［リコレクション・サマー］沢田麻理菜＋,沢田麻理菜,パッション,非該当,FALSE,Ｓレア＋,10,70,300,4256,4804,4178,39,FALSE,FALSE,イベント,'2022年7月11日',パッションブリリアンス,パッションアイドルの全アピール値30%アップ,COMBOボーナス,9秒毎、中確率でしばらくの間、COMBOボーナス14%アップ
なるみやゆめ,［リトルプリーステス］成宮由愛＋,成宮由愛,クール,非該当,FALSE,Ｓレア＋,10,70,300,5928,3086,3773,39,FALSE,FALSE,イベント,'2016年12月12日',クールボイス,クールアイドルのボーカルアピール値60%アップ,COMBOボーナス,9秒毎、高確率で少しの間、COMBOボーナス14%アップ
ふくやままい,［リトルプリンセス］福山舞＋,福山舞,キュート,非該当,FALSE,Ｓレア＋,10,70,300,4356,4298,4287,86,FALSE,FALSE,恒常,'2015年9月3日',キュートエナジー,キュートアイドルのライフ20%アップ,ダメージガード,11秒毎、中確率でかなりの間、ライフが減少しなくなる
ふたばあんず,［リトルリドル］双葉杏＋,双葉杏,キュート,非該当,FALSE,Ｓレア＋,10,70,300,5715,3020,3677,39,TRUE,FALSE,イベント,'2017年6月30日',キュートボイス,キュートアイドルのボーカルアピール値60%アップ,コンセントレーション,13秒毎、高確率でかなりの間、PERFECTのスコア19%アップ、PERFECT判定される時間が短くなる
しらさかこうめ,［リトルリドル］白坂小梅＋,白坂小梅,クール,非該当,FALSE,Ｓレア＋,10,70,300,3327,6114,4017,39,TRUE,FALSE,イベント,'2017年6月30日',クールステップ,クールアイドルのダンスアピール値60%アップ,COMBOボーナス,9秒毎、高確率で少しの間、COMBOボーナス14%アップ
ふくやままい,［リンク・マイ・ストーリー］福山舞＋,福山舞,キュート,非該当,FALSE,Ｓレア＋,10,70,300,3993,6171,3275,39,FALSE,FALSE,イベント,'2025年2月19日',キュート・クロス・パッション,キュートとパッションのアイドル編成時、全員の全アピール値20%アップ、獲得ファン数が8%アップ,ロングアクト,11秒毎、高確率でかなりの間、PERFECTのスコア8%アップ、ロングアイコンなら32%アップ
あさりななみ,［るんるんクッキング］浅利七海＋,浅利七海,クール,非該当,FALSE,Ｓレア＋,10,70,300,5972,3886,3202,39,TRUE,TRUE,恒常,'2020年2月17日',クールボイス,クールアイドルのボーカルアピール値60%アップ,コンセントレーション,7秒毎、高確率でわずかな間、PERFECTのスコア19%アップ、PERFECT判定される時間が短くなる
きりゅうつかさ,［レッド・ソール］桐生つかさ＋,桐生つかさ,クール,非該当,FALSE,Ｓレア＋,10,70,300,3288,6171,3980,39,TRUE,FALSE,イベント,'2021年8月19日',クール・クロス・パッション,クールとパッションのアイドル編成時、全員の全アピール値20%アップ、全員の特技発動率25%アップ,ライフスパークル,13秒毎、高確率でかなりの間、ライフ値が多いほどCOMBOボーナスアップ
みふねみゆ,［レッド・ソール］三船美優＋,三船美優,クール,非該当,FALSE,Ｓレア＋,10,70,300,3986,6183,3272,39,TRUE,FALSE,イベント,'2021年8月19日',クールステップ,クールアイドルのダンスアピール値60%アップ,ロングアクト,9秒毎、高確率でしばらくの間、PERFECTのスコア8%アップ、ロングアイコンなら32%アップ
けいと,［レディ・アドマイヤ］ケイト＋,ケイト,クール,非該当,FALSE,Ｓレア＋,10,70,300,5995,3174,3889,39,FALSE,FALSE,恒常,'2021年2月22日',クールボイス,クールアイドルのボーカルアピール値60%アップ,コーディネイト,9秒毎、高確率で少しの間、PERFECTのスコア8%アップ、COMBOボーナス12%アップ
おおにしゆりこ,［レディライクバイオレット］大西由里子＋,大西由里子,キュート,非該当,FALSE,Ｓレア＋,10,70,300,5966,3889,3212,39,FALSE,FALSE,恒常,'2019年1月4日',キュートボイス,キュートアイドルのボーカルアピール値60%アップ,SCOREボーナス,7秒毎、高確率でわずかな間、PERFECTのスコア15%アップ
くさかべわかば,［ローゼスゴシック］日下部若葉＋,日下部若葉,キュート,非該当,FALSE,Ｓレア＋,10,70,300,3242,5928,3909,39,FALSE,FALSE,恒常,'2018年5月31日',キュートステップ,キュートアイドルのダンスアピール値60%アップ,SCOREボーナス,6秒毎、中確率でわずかな間、PERFECTのスコア15%アップ
まつながりょう,［ロッキンヴォーカリスト］松永涼＋,松永涼,クール,非該当,FALSE,Ｓレア＋,10,70,300,4278,4396,4255,86,TRUE,TRUE,恒常,'2015年11月20日',クールエナジー,クールアイドルのライフ20%アップ,ライフ回復,8秒毎、中確率でわずかな間、PERFECTでライフ3回復
きむらなつき,［ロッキングメイド］木村夏樹＋,木村夏樹,パッション,非該当,FALSE,Ｓレア＋,10,70,300,3200,5979,3883,39,TRUE,TRUE,限定,'2019年5月3日',パッションアビリティ,パッションアイドルの特技発動確率30%アップ,オールラウンド,5秒毎、高確率で一瞬の間、COMBOボーナス10%アップ、PERFECTでライフ1回復
きむらなつき,［ロッキングラヴァー］木村夏樹＋,木村夏樹,パッション,非該当,FALSE,Ｓレア＋,10,70,300,4344,4309,4525,39,TRUE,TRUE,恒常,'2015年9月3日',パッションアビリティ,パッションアイドルの特技発動確率30%アップ,PERFECTサポート,9秒毎、中確率でわずかな間、GREAT/NICEをPERFECTにする
はやさかみれい,［ロック・ポップMIX］早坂美玲＋,早坂美玲,キュート,非該当,FALSE,Ｓレア＋,10,70,300,6012,2925,3650,39,TRUE,FALSE,イベント,'2016年6月10日',キュートボイス,キュートアイドルのボーカルアピール値60%アップ,COMBOボーナス,11秒毎、高確率でしばらくの間、COMBOボーナス14%アップ
ののむらそら,［ろでお☆がーる］野々村そら＋,野々村そら,パッション,非該当,FALSE,Ｓレア＋,10,70,300,4399,4451,4710,39,FALSE,FALSE,恒常,'2017年6月22日',パッションブリリアンス,パッションアイドルの全アピール値30%アップ,オーバーロード,7秒毎、高確率でライフを11消費し、わずかな間PERFECT/GREATのスコア18%アップ、NICE/BADでもCOMBO継続
いけぶくろあきは,［ロボティックチアー］池袋晶葉＋,池袋晶葉,キュート,非該当,FALSE,Ｓレア＋,10,70,300,4335,4376,4593,86,FALSE,FALSE,恒常,'2019年5月3日',キュートエナジー,キュートアイドルのライフ20%アップ,ライフ回復,7秒毎、高確率で一瞬の間、PERFECTでライフ3回復
いむらせつな,［ロマンチックナイト］井村雪菜＋,井村雪菜,キュート,非該当,FALSE,Ｓレア＋,10,70,300,3440,2728,5785,39,FALSE,FALSE,イベント,'2016年12月12日',キュートメイク,キュートアイドルのビジュアルアピール値60%アップ,SCOREボーナス,11秒毎、中確率でかなりの間、PERFECTのスコア15%アップ
うじいえむつみ,［ロワイヤルガール］氏家むつみ＋,氏家むつみ,クール,非該当,FALSE,Ｓレア＋,10,70,300,3480,5623,2811,39,FALSE,FALSE,イベント,'2016年11月11日',クールステップ,クールアイドルのダンスアピール値60%アップ,SCOREボーナス,11秒毎、高確率でしばらくの間、PERFECTのスコア15%アップ
